STOP_NAME,STOP_ID,STOP_LAT,STOP_LON
U Berliner Str. (Berlin),900000044201,52.487047000000,13.331355000000
S+U Bundesplatz (Berlin),900000044202,52.477366000000,13.329149000000
U Ruedesheimer Platz (Berlin),900000045101,52.472462000000,13.314387000000
S+U Heidelberger Platz (Berlin),900000045102,52.479446000000,13.311843000000
S Grunewald (Berlin),900000048101,52.488680000000,13.261944000000
S Zehlendorf (Berlin),900000049201,52.431209000000,13.259227000000
S Sundgauer Str. (Berlin),900000049202,52.436187000000,13.273501000000
U Onkel Toms Huette (Berlin),900000050282,52.450146000000,13.254016000000
S Mexikoplatz (Berlin),900000050301,52.437166000000,13.232060000000
S Schlachtensee (Berlin),900000050355,52.439806000000,13.213986000000
U Freie Universitaet (Thielplatz) (Berlin),900000051201,52.451000000000,13.281651000000
U Breitenbachplatz (Berlin),900000051202,52.467342000000,13.309276000000
U Oskar-Helene-Heim (Berlin),900000051301,52.450419000000,13.268910000000
U Podbielskiallee (Berlin),900000051302,52.464172000000,13.295203000000
U Dahlem-Dorf (Berlin),900000051303,52.457695000000,13.290011000000
S Nikolassee (Berlin),900000052201,52.431210000000,13.193298000000
S Wannsee Bhf (Berlin),900000053301,52.421457000000,13.179099000000
U Rathaus Schoeneberg (Berlin),900000054101,52.483332000000,13.341989000000
U Kleistpark (Berlin),900000054102,52.490845000000,13.360917000000
U Eisenacher Str. (Berlin),900000054103,52.489477000000,13.350284000000
S Schoeneberg (Berlin),900000054104,52.479811000000,13.352848000000
S+U Innsbrucker Platz (Berlin),900000054105,52.478100000000,13.342875000000
U Viktoria-Luise-Platz (Berlin),900000055101,52.496169000000,13.343264000000
U Bayerischer Platz (Berlin),900000055102,52.488654000000,13.340237000000
U Wittenbergplatz (Berlin),900000056101,52.502109000000,13.342561000000
U Nollendorfplatz (Berlin),900000056102,52.499644000000,13.353825000000
U Buelowstr. (Berlin),900000056104,52.497627000000,13.362456000000
S+U Yorckstr. S1 U7 (Berlin),900000057102,52.492345000000,13.367986000000
S Suedkreuz Bhf (Berlin),900000058101,52.475468000000,13.365579000000
S Priesterweg (Berlin),900000058102,52.459239000000,13.356028000000
S+U Yorckstr. S2 S25 S26 U7 (Berlin),900000058103,52.492323000000,13.372226000000
S Friedenau (Berlin),900000060101,52.470002000000,13.340598000000
U Walther-Schreiber-Platz (Berlin),900000061101,52.464998000000,13.328409000000
U Friedrich-Wilhelm-Platz (Berlin),900000061102,52.471439000000,13.328676000000
S+U Rathaus Steglitz (Berlin),900000062202,52.455066000000,13.322152000000
U SchloÌÙstr. (Berlin),900000062203,52.461183000000,13.324836000000
S+U Rathaus Steglitz/Kreisel (Berlin),900000062282,52.455889000000,13.320852000000
S Feuerbachstr. (Berlin),900000063101,52.463578000000,13.332412000000
S Suedende (Berlin),900000063452,52.448899000000,13.354077000000
S Lichterfelde Sued (Berlin),900000064201,52.409956000000,13.308662000000
S Osdorfer Str. (Berlin),900000064256,52.418373000000,13.313865000000
S Lichterfelde Ost Bhf (Berlin),900000064301,52.429098000000,13.328078000000
S Lichterfelde West (Berlin),900000066101,52.443512000000,13.294141000000
S Botanischer Garten (Berlin),900000066102,52.447552000000,13.306041000000
S Lankwitz (Berlin),900000067221,52.439034000000,13.342760000000
U Paradestr. (Berlin),900000068101,52.478142000000,13.386725000000
S+U Tempelhof (Berlin),900000068201,52.470694000000,13.385754000000
U Alt-Tempelhof (Berlin),900000068202,52.465930000000,13.385796000000
U Tempelhof/Ringbahnstr. (Berlin),900000068272,52.468806000000,13.385842000000
S Attilastr. (Berlin),900000068301,52.447298000000,13.361177000000
U Kaiserin-Augusta-Str. (Berlin),900000068302,52.460512000000,13.384905000000
U Ullsteinstr. (Berlin),900000069271,52.453450000000,13.384771000000
U Westphalweg (Berlin),900000070101,52.445801000000,13.385561000000
U Alt-Mariendorf (Berlin),900000070301,52.439641000000,13.387456000000
S Buckower Chaussee (Berlin),900000072101,52.410919000000,13.382689000000
S Marienfelde (Berlin),900000073101,52.423816000000,13.375022000000
