STOP_NAME;STOP_LAT;STOP_LON;COORDINATE
S Lichterfelde Sued (Berlin);52.409956000000;13.308662000000;010100000045662E7079344A40310917F2089E2A40
S Lichterfelde West (Berlin);52.443512000000;13.294141000000;010100000018B14F00C5384A4052D32EA699962A40
S Mahlsdorf Bhf (Berlin);52.512118000000;13.611230000000;0101000000B2D826158D414A400DAB7823F3382B40
S Marienfelde (Berlin);52.423816000000;13.375022000000;0101000000C2C2499A3F364A409F8F32E202C02A40
S Marzahn (Berlin);52.543272000000;13.541524000000;0101000000906AD8EF89454A408BFF3BA242152B40
S Mehrower Allee (Berlin);52.557816000000;13.554392000000;0101000000C097C28366474A40FC53AA44D91B2B40
S Messe Nord/ICC (Berlin);52.506454000000;13.283043000000;0101000000D576137CD3404A4034B91803EB902A40
S Messe Sued (Berlin);52.498771000000;13.270450000000;0101000000BB9866BAD73F4A400A68226C788A2A40
S Mexikoplatz (Berlin);52.437166000000;13.232060000000;01010000002976340EF5374A40666B7D91D0762A40
S Nikolassee (Berlin);52.431210000000;13.193298000000;0101000000A5DAA7E331374A40B1C398F4F7622A40
S Nordbahnhof (Berlin);52.531672000000;13.388798000000;01010000007619FED30D444A401B800D8810C72A40
S Nordbahnhof/Gartenstr. (Berlin);52.533360000000;13.387492000000;01010000004E7FF62345444A405BECF65965C62A40
S Noeldnerplatz (Berlin);52.503444000000;13.484297000000;010100000008AF5DDA70404A40111AC1C6F5F72A40
S Noeldnerplatz/Schlichtallee (Berlin);52.502274000000;13.485141000000;0101000000C8D0B1834A404A40C1E5B16664F82A40
S Oberspree (Berlin);52.452269000000;13.538461000000;010100000050FF59F3E3394A40C9570229B1132B40
S Olympiastadion (Berlin);52.511135000000;13.241111000000;0101000000A56B26DF6C414A406669A7E6727B2A40
S Oranienburger Str. (Berlin);52.525161000000;13.393068000000;01010000003C11C47938434A4050357A3540C92A40
S Osdorfer Str. (Berlin);52.418373000000;13.313865000000;0101000000C443183F8D354A40D4B7CCE9B2A02A40
S Ostbahnhof (Berlin);52.510001000000;13.435747000000;0101000000B2F677B647414A4004A9143B1ADF2A40
S Ostkreuz Bhf (Berlin);52.502851000000;13.469093000000;010100000065E1EB6B5D404A40A8902BF52CF02A40
S Pankow-Heinersdorf (Berlin);52.577603000000;13.429090000000;0101000000278925E5EE494A40CF143AAFB1DB2A40
S Pichelsberg (Berlin);52.510264000000;13.227196000000;0101000000BF29AC5450414A406490BB0853742A40
S Plaenterwald (Berlin);52.478722000000;13.474029000000;010100000017F032C3463D4A400FB6D8EDB3F22A40
S Poelchaustr. (Berlin);52.534751000000;13.536008000000;01010000006C4084B872444A40EBC9FCA36F122B40
S Potsdamer Platz Bhf/Vosstr. (Berlin);52.510147000000;13.376656000000;01010000008693347F4C414A4032AF230ED9C02A40
S Prenzlauer Allee (Berlin);52.544802000000;13.427419000000;0101000000CF656A12BC454A40C860C5A9D6DA2A40
S Priesterweg (Berlin);52.459239000000;13.356028000000;01010000001C06F357C83A4A40ABEB504D49B62A40
S Rahnsdorf (Berlin);52.451371000000;13.691655000000;010100000071AE6186C6394A40D23AAA9A20622B40
S Raoul-Wallenberg-Str. (Berlin);52.550749000000;13.548392000000;010100000001A777F17E464A40ACC612D6C6182B40
S Rathaus Steglitz (Berlin);52.455961000000;13.322473000000;010100000030A017EE5C3A4A409FAF592E1BA52A40
S Rummelsburg (Berlin);52.501213000000;13.478699000000;01010000003FAA61BF27404A407D410B0918F52A40
S Savignyplatz (Berlin);52.505223000000;13.319003000000;0101000000F017B325AB404A40DBA6785C54A32A40
S Schichauweg (Berlin);52.398563000000;13.389457000000;0101000000A532C51C04334A4084656CE866C72A40
S Schlachtensee (Berlin);52.439806000000;13.213986000000;0101000000D34A21904B384A408D9AAF928F6D2A40
S Schulzendorf (Berlin);52.613513000000;13.245630000000;0101000000DE550F98874E4A403DD52137C37D2A40
S Schoeneberg (Berlin);52.479811000000;13.352848000000;01010000006AA164726A3D4A4003EB387EA8B42A40
S Schoeneweide Bhf (Berlin);52.454611000000;13.510149000000;010100000070B378B1303A4A40992CEE3F32052B40
S Schoenholz (Berlin);52.571901000000;13.380242000000;01010000005CC64D0D34494A409B215514AFC22A40
S Sonnenallee (Berlin);52.473843000000;13.455986000000;010100000022382EE3A63C4A4022DE3AFF76E92A40
S Sonnenallee/Saalestr. (Berlin);52.472215000000;13.454458000000;01010000001FD7868A713C4A40A7CF0EB8AEE82A40
S Spandau Bhf (Berlin);52.534798000000;13.197477000000;0101000000ADFBC74274444A40A46C91B41B652A40
S Spindlersfeld (Berlin);52.445938000000;13.562701000000;01010000009605137F14394A405EDA70581A202B40
S Springpfuhl (Berlin);52.525806000000;13.536904000000;010100000032056B9C4D434A40E42EC214E5122B40
S Storkower Str. (Berlin);52.524195000000;13.464884000000;010100000005DD5ED218434A4009DE904605EE2A40
S Stresow (Berlin);52.532505000000;13.209130000000;01010000006EFAB31F29444A4097395D16136B2A40
S Sundgauer Str. (Berlin);52.436187000000;13.273501000000;01010000005DF8C1F9D4374A40BAD8B452088C2A40
S Suedende (Berlin);52.448899000000;13.354077000000;0101000000821ABE8575394A4016889E9449B52A40
S Suedkreuz Bhf (Berlin);52.475468000000;13.365579000000;0101000000B325AB22DC3C4A407235B22B2DBB2A40
S Tegel (Berlin);52.588805000000;13.288695000000;0101000000535C55F65D4B4A409609BFD4CF932A40
S Teltow Stadt (Berlin);52.396700000000;13.275600000000;01010000005F29CB10C7324A40228E75711B8D2A40
S Tiergarten (Berlin);52.513959000000;13.336241000000;0101000000103E9468C9414A400F26C5C727AC2A40
S Treptower Park (Berlin);52.493022000000;13.460887000000;0101000000B11A4B581B3F4A40984D8061F9EB2A40
S Waidmannslust (Berlin);52.606814000000;13.320549000000;0101000000A260C614AC4D4A40F0879FFF1EA42A40
S Wannsee Bhf (Berlin);52.421457000000;13.179099000000;0101000000CBD58F4DF2354A401C7E37DDB25B2A40
S Warschauer Str. (Berlin);52.507983000000;13.450546000000;010100000045F6419605414A40EEAF1EF7ADE62A40
S Wartenberg (Berlin);52.573266000000;13.504238000000;010100000051F4C0C760494A4008CDAE7B2B022B40
S Westend (Berlin);52.518610000000;13.284237000000;010100000075B0FECF61424A4055A0168387912A40
S Westkreuz (Berlin);52.501152000000;13.283036000000;01010000009929ADBF25404A406A2E3718EA902A40
S Wilhelmshagen (Berlin);52.438571000000;13.721004000000;0101000000ADFC321823384A400492B06F27712B40
S Wilhelmsruh (Berlin);52.581588000000;13.363284000000;01010000007FDFBF79714A4A40F451465C00BA2A40
S Wollankstr. (Berlin);52.564974000000;13.393150000000;01010000008F8B6A1151484A4045D8F0F44AC92A40
S Wuhlheide (Berlin);52.469058000000;13.553527000000;0101000000ADF6B0170A3C4A40EFE714E4671B2B40
S Zehlendorf (Berlin);52.431209000000;13.259227000000;0101000000D55E44DB31374A40FA7ABE66B9842A40
S+U Alexanderplatz Bhf (Berlin);52.521512000000;13.411267000000;01010000005C3CBCE7C0424A401BD9959691D22A40
S+U Berlin Hauptbahnhof;52.525847000000;13.368924000000;010100000090D959F44E434A40446B459BE3BC2A40
S+U Brandenburger Tor (Berlin);52.516511000000;13.381937000000;01010000001B834E081D424A40C443183F8DC32A40
S+U Bundesplatz (Berlin);52.477366000000;13.329149000000;0101000000761C3F541A3D4A40AF05BD3786A82A40
S+U Frankfurter Allee (Berlin);52.513613000000;13.475300000000;010100000075E61E12BE414A40DE9387855AF32A40
S+U Friedrichstr. Bhf (Berlin);52.520270000000;13.387153000000;0101000000828B153598424A40B91803EB38C62A40
S+U Gesundbrunnen Bhf (Berlin);52.548637000000;13.388372000000;01010000001230BABC39464A403E5DDDB1D8C62A40
S+U Heidelberger Platz (Berlin);52.479446000000;13.311843000000;010100000059198D7C5E3D4A401AF9BCE2A99F2A40
S+U Hermannstr. (Berlin);52.467181000000;13.431704000000;010100000002284696CC3B4A40D21A834E08DD2A40
S+U Hermannstr./Silbersteinstr. (Berlin);52.466432000000;13.431959000000;010100000068E7340BB43B4A40FD6CE4BA29DD2A40
S+U Innsbrucker Platz (Berlin);52.478100000000;13.342875000000;0101000000DA1B7C61323D4A40643BDF4F8DAF2A40
S+U Jannowitzbruecke (Berlin);52.515500000000;13.418027000000;0101000000448B6CE7FB414A40A3B08BA207D62A40
S+U Jungfernheide Bhf (Berlin);52.530431000000;13.300135000000;01010000006DE4BA29E5434A4019C5724BAB992A40
S+U Karl-Bonhoeffer-Nervenklinik (Berlin);52.578169000000;13.332921000000;0101000000D0471971014A4A40A14D0E9F74AA2A40
S+U Lichtenberg Bhf (Berlin);52.510754000000;13.498228000000;01010000008D26176360414A4029E78BBD17FF2A40
S+U Lichtenberg Bhf/Gudrunstr. (Berlin);52.512367000000;13.500065000000;01010000005A46EA3D95414A409CBF098508002B40
S+U Lichtenberg Bhf/Siegfriedstr. (Berlin);52.512315000000;13.497750000000;01010000000820B58993414A40022B8716D9FE2A40
